City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,13.29,67,13,4.74,SH,1701122661
1,qarazhal,48.0078,70.7903,5.74,53,100,5.68,KZ,1701122790
2,yashkul',46.1711,45.3435,4.26,72,25,4.63,RU,1701122790
3,utrik,11.2278,169.8474,27.65,74,73,9.23,MH,1701122790
4,stanley,54.868,-1.6985,5.29,92,75,6.17,GB,1701122704
5,puerto natales,-51.7236,-72.4875,12.25,40,100,4.63,CL,1701122685
6,vorgashor,67.5833,63.95,-22.3,98,10,2.12,RU,1701122662
7,yellowknife,62.456,-114.3525,-7.71,93,100,7.2,CA,1701122790
8,colonia,50.9333,6.95,5.23,92,100,2.57,DE,1701122725
9,ushuaia,-54.8,-68.3,12.81,41,0,7.2,AR,1701122532
10,grand-bassam,5.2118,-3.7388,25.98,83,16,2.17,CI,1701122792
11,olonkinbyen,70.9221,-8.7187,2.05,89,94,9.71,SJ,1701122693
12,lihue,21.9789,-159.3672,27.58,85,100,3.77,US,1701122553
13,lompoc,34.6391,-120.4579,22.1,37,0,5.66,US,1701122457
14,thompson,55.7435,-97.8558,-18.91,60,0,1.54,CA,1701122706
15,adamstown,-25.066,-130.1015,22.65,85,100,10.41,PN,1701122664
16,hawaiian paradise park,19.5933,-154.9731,25.73,79,0,3.6,US,1701122666
17,rabo de peixe,37.8,-25.5833,17.73,99,75,2.06,PT,1701122793
18,hadibu,12.65,54.0333,25.67,67,96,5.07,YE,1701122794
19,callao,-12.0667,-77.15,22.16,68,0,8.23,PE,1701122794
20,le port,-20.9373,55.2919,23.83,80,40,1.8,RE,1701122794
21,bleckede,53.3,10.7333,0.25,91,100,5.5,DE,1701122795
22,klyuchi,52.2667,79.1667,-1.53,75,98,5.85,RU,1701122693
23,port-aux-francais,-49.35,70.2167,4.15,78,88,9.74,TF,1701122795
24,ketchikan,55.3422,-131.6461,9.26,93,100,4.63,US,1701122796
25,sinabang,2.4803,96.3801,25.78,85,99,2.46,ID,1701122796
26,bethel,41.3712,-73.414,7.74,63,44,0.89,US,1701122495
27,yerofey pavlovich,53.9667,121.9667,-18.72,76,100,1.54,RU,1701122796
28,naze,28.3667,129.4833,17.51,62,0,10.07,JP,1701122555
29,punta arenas,-53.15,-70.9167,11.06,50,0,5.66,CL,1701122781
30,ribeira grande,38.5167,-28.7,18.21,100,40,0.89,PT,1701122707
31,lebanon,36.2081,-86.2911,8.12,45,0,3.09,US,1701122699
32,grytviken,-54.2811,-36.5092,0.0,90,63,6.13,GS,1701122798
33,ullal,12.8,74.85,26.53,89,20,2.06,IN,1701122798
34,same,-4.0667,37.7333,22.02,84,100,1.02,TZ,1701122799
35,waitangi,-43.9535,-176.5597,13.23,88,100,0.89,NZ,1701122665
36,cockburn town,21.4612,-71.1419,27.98,69,40,4.12,TC,1701122799
37,albany,42.6001,-73.9662,3.68,67,16,0.89,US,1701122586
38,saldanha,-33.0117,17.9442,18.03,96,5,7.39,ZA,1701122694
39,muynoq,43.7683,59.0214,13.48,31,100,5.04,UZ,1701122800
40,la libertad,-2.2333,-80.9,26.81,80,20,7.72,EC,1701122438
41,weno,7.4515,151.8468,29.97,79,75,2.57,FM,1701122738
42,saint-philippe,-21.3585,55.7679,22.77,84,42,3.22,RE,1701122801
43,udachny,66.4167,112.4,-27.93,98,52,2.65,RU,1701122669
44,kodiak,57.79,-152.4072,5.73,49,0,5.14,US,1701122691
45,hasaki,35.7333,140.8333,15.22,83,13,9.47,JP,1701122801
46,arteche,12.2645,125.4048,26.04,90,49,3.48,PH,1701122801
47,coquimbo,-29.9533,-71.3436,17.85,67,20,5.66,CL,1701122437
48,ancud,-41.8697,-73.8203,12.34,89,100,7.13,CL,1701122802
49,kebili,33.7044,8.969,14.8,49,45,3.89,TN,1701122802
50,koungheul,13.9833,-14.8,29.01,21,5,2.3,SN,1701122802
51,itaituba,-4.2761,-55.9836,27.99,72,72,1.66,BR,1701122803
52,avsallar,36.616,31.7806,10.91,45,0,4.19,TR,1701122803
53,ilulissat,69.2167,-51.1,-3.99,93,100,5.66,GL,1701122668
54,ilhabela,-23.7781,-45.3581,22.77,93,100,3.61,BR,1701122803
55,akureyri,65.6835,-18.0878,2.7,90,100,1.83,IS,1701122803
56,jamestown,42.097,-79.2353,-1.41,73,75,9.77,US,1701122673
57,phillip island,-38.4835,145.231,17.49,88,100,5.04,AU,1701122804
58,lautoka,-17.6167,177.4667,29.92,66,40,5.14,FJ,1701122804
59,nar'yan-mar,67.6713,53.087,-23.42,100,77,1.0,RU,1701122804
60,bredasdorp,-34.5322,20.0403,17.21,92,20,0.65,ZA,1701122663
61,puerto baquerizo moreno,-0.9,-89.6,26.55,89,75,6.69,EC,1701122690
62,longyearbyen,78.2186,15.6401,3.91,65,75,1.54,SJ,1701122673
63,greymouth,-42.4667,171.2,14.5,90,100,4.93,NZ,1701122805
64,invercargill,-46.4,168.35,16.12,82,82,4.02,NZ,1701122660
65,karukh,34.4811,62.5863,10.19,47,26,0.79,AF,1701122806
66,samana,19.2056,-69.3369,26.98,81,1,3.78,DO,1701122806
67,humaita,-7.5061,-63.0208,27.81,68,63,0.44,BR,1701122806
68,yondo,7.0062,-73.9097,29.97,73,10,0.78,CO,1701122806
69,ta`u,-14.2336,-169.5144,27.6,84,31,9.59,AS,1701122807
70,codrington,-38.2667,141.9667,14.83,78,90,3.41,AU,1701122699
71,aripuana,-9.1667,-60.6333,30.53,49,61,1.69,BR,1701122752
72,blackmans bay,-43.0167,147.3167,12.63,77,99,0.45,AU,1701122807
73,westport,41.1415,-73.3579,8.99,62,75,4.63,US,1701122734
74,petropavlovsk-kamchatsky,53.0452,158.6483,-5.86,63,75,7.15,RU,1701122808
75,winkler,49.1817,-97.941,-9.57,57,30,2.57,CA,1701122549
76,saipan,15.1355,145.701,27.39,94,75,7.72,MP,1701122708
77,angola,-12.5,18.5,16.88,97,100,0.67,AO,1701122808
78,howrah,22.5892,88.3103,22.0,73,40,0.0,IN,1701122809
79,badger,64.8,-147.5333,-3.13,91,100,1.54,US,1701122693
80,manali,13.1667,80.2667,26.71,88,46,4.64,IN,1701122809
81,kasulu,-4.5767,30.1025,16.94,96,98,0.52,TZ,1701122809
82,baymak,52.5933,58.3225,-2.36,97,75,3.8,RU,1701122809
83,ulladulla,-35.35,150.4667,21.54,88,100,3.43,AU,1701122810
84,hermanus,-34.4187,19.2345,17.85,88,23,1.26,ZA,1701122679
85,margate,51.3813,1.3862,7.61,86,100,4.92,GB,1701122736
86,yangjiang,21.85,111.9667,18.49,74,19,3.15,CN,1701122810
87,isafjordur,66.0755,-23.124,1.68,87,100,3.47,IS,1701122671
88,margaret river,-33.95,115.0667,17.71,85,94,2.65,AU,1701122720
